12;7034;56560;586.210022;4144529;;10;1.5;;12;12;;7034
25.129629;2714;99760;108.565002;1353811;;10;1.5;;25.129629;48;;2714
30;14369;231546;478.933014;13861898;;12;12;;30;84;;14369
30.02092;7175;118144;239.166;3532029;;12;12;;30.02092;91;;7175
30.064516;3728;560832;124.390999;8720319;;12;12;;30.064516;93;;3728
12;2650;54533;221.006668;1506522;;12;12;;12;12;;2650
12;469;54987;39.101665;268761;;12;12;;12;12;;469
24.034246;7018;1225423;292.473999;44800568;;12;12;;24.034246;32;;7018
30.008417;53475;2210269;1782.637939;492513792;;12;12;;30.008417;89;;53475
25.010256;24385;2313974;975.492004;282157920;;12;12;;25.010256;44;;24385
12;517;54367;43.095001;292872;;12;12;;12;12;;517
12;1300;52886;108.34333;716235;;12;12;;12;12;;1300
29;8682;780946;289.656006;28275716;;12;12;;29;65;;8682
12;565;55547;47.09;326964;;12;12;;12;12;;565
12;2320;53946;193.375;1303978;;12;12;;12;12;;2320
12;1919;49054;159.938339;980714;;12;12;;12;12;;1919
25;1589;995760;63.52;7906335;;12;12;;25;38;;1589
29;6920;486551;230.863998;14040911;;12;12;;29;65;;6920
29;5748;389460;191.757996;9335261;;12;12;;29;65;;5748
12;3648;56064;304.041656;2130756;;12;12;;12;12;;3648
29;6421;325516;214.214005;8716261;;12;12;;29;65;;6421
29;7552;626880;251.957993;19743454;;15;22.5;;29;65;;7552
27.034483;14112;385640;522.919006;25207340;;15;22.5;;27.034483;50;;14112
25.066965;5615;429026;224.600006;12044907;;15.016501;24;;25.066965;46;;5615
12;1050;55563;87.53833;607988;;15.037234;25;;12;12;;1050
30;1953;272974;65.067001;2220200;;20;26.5;;30;84;;1953
29;12884;906379;430.26001;48747364;;20;26.5;;29;65;;12884
29;9225;486403;307.773987;18712776;;23;28;;29;65;;9225
29;5748;279147;191.757996;6691094;;24;30;;29;65;;5748
29;2550;499315;85.052002;5308468;;24;30;;29;65;;2550
12;405;56555;33.761665;238677;;24;30;;12;12;;405
30;1830;2975961;61;22691708;;24.034246;32;;30;84;;1830
30.008696;13804;759298;460.132996;43672276;;25;38;;30.008696;90;;13804
23;1462;259223;60.936001;1974502;;25;38;;23;28;;1462
30;15198;285490;506.566986;18077512;;25;38;;30;84;;15198
25.451612;789;231105;31.582001;912348;;25;38;;25.451612;49;;789
10;354;500637;35.41;2215946;;25;38;;10;1.5;;354
25;1827;294328;73.040001;2687220;;25;38;;25;38;;1827
29;6528;672218;217.783997;18299806;;25;38;;29;65;;6528
15;1232;288435;82.067001;2958880;;25;38;;15;22.5;;1232
29;5733;229897;191.257996;5496225;;25;38;;29;65;;5733
15.037234;2827;272292;188.656006;6421212;;25;38;;15.037234;25;;2827
10;1999;264710;199.800003;6611145;;25;38;;10;1.5;;1999
30.109005;6353;47506;211.852997;1258057;;25.010256;44;;30.109005;94;;6353
29;8866;1524698;295.845001;56384292;;25.043062;45;;29;65;;8866
25;6665;256561;266.559998;8548624;;25.066965;46;;25;38;;6665
24;2843;602405;116.403;8765223;;25.105263;47;;24;30;;2843
29;2218;462436;73.973999;4276039;;25.129629;48;;29;65;;2218
12;6239;56988;519.940002;3703843;;25.451612;49;;12;12;;6239
29;6885;660985;229.695999;18978204;;27.034483;50;;29;65;;6885
25;3510;243259;140.360001;4267993;;29;65;;25;38;;3510
29;1658;714180;56.649998;5057289;;29;65;;29;65;;1658
30.333334;2275;2879202;75.989998;27348826;;29;65;;30.333334;97;;2275
25;5327;788100;213.039993;20987104;;29;65;;25;38;;5327
29;4181;254113;139.720001;4438087;;29;65;;29;65;;4181
29;1265;546779;42.208332;2884832;;29;65;;29;65;;1265
30;5610;1486332;187;34743024;;29;65;;30;84;;5610
12;1127;51887;93.946671;609327;;29;65;;12;12;;1127
25;5661;118798;226.399994;3362001;;29;65;;25;38;;5661
12;310129;56007;25844.08594;180932000;;29;65;;12;12;;310129
30.355556;1366;437350;45.533001;2489234;;29;65;;30.355556;98;;1366
20;1212;229262;60.599998;1736665;;29;65;;20;26.5;;1212
25;1776;1152724;71.051666;10237871;;29;65;;25;38;;1776
35;18275;295721;1037.411011;38348028;;29;65;;35;99;;18275
12;2576;56363;214.691666;1512594;;29;65;;12;12;;2576
25;1692;3004904;67.68;25421490;;29;65;;25;38;;1692
29;7264;276221;242.341995;8367507;;29;65;;29;65;;7264
48;2850;232359;118.471001;3440984;;29;65;;48;100;;2850
25.043062;5234;107451;209.449997;2813219;;29;65;;25.043062;50;;5234
12;4403;57253;366.921661;2625959;;29;65;;12;12;;4403
30.119719;4277;564250;142.709;10065446;;29;65;;30.119719;96;;4277
29;8190;256263;273.23999;8752671;;29;65;;29;65;;8190
29;2198;2442062;73.351669;22391172;;29;65;;29;65;;2198
25;3086;702539;123.400002;10836667;;29;65;;25;38;;3086
30.002604;11521;339761;384.157013;16315232;;29;65;;30.002604;88;;11521
29;5759;240353;192.466003;5782494;;29;65;;29;65;;5759
25.105263;954;310350;38.16;1480372;;29;65;;25.105263;47;;954
30.111889;4306;120113;143.542999;2155175;;29;65;;30.111889;95;;4306
12;2049;54573;170.758331;1164851;;29;65;;12;12;;2049
30.033678;11593;1391835;386.899994;67312648;;29.994764;80;;30.033678;92;;11593
30;8216;884348;273.833008;30270488;;30;84;;30;84;;8216
25;6435;1150782;257.359985;37020680;;30;84;;25;38;;6435
29;176262;457695;5881.242188;336477056;;30;84;;29;65;;176262
25;4482;283074;179.240005;6342289;;30;84;;25;38;;4482
29;2655;508298;88.477997;5621655;;30;84;;29;65;;2655
20;16576;256082;828.75;26528496;;30;84;;20;26.5;;16576
24;9954;256804;414.708008;13312338;;30;84;;24;30;;9954
12;3862;54587;322.200012;2198511;;30.002604;88;;12;12;;3862
29;9750;795456;325.317993;32347040;;30.008417;89;;29;65;;9750
29;7453;675771;248.416;20984052;;30.008696;90;;29;65;;7453
30;5249;827079;174.985001;18090818;;30.02092;91;;30;84;;5249
15.016501;4550;208994;303.334015;7924375;;30.033678;92;;15.016501;24;;4550
29;6330;800451;211.552002;21167150;;30.064516;93;;29;65;;6330
29;982;395735;32.732998;1619202;;30.109005;94;;29;65;;982
24;6656;2623916;277.600006;91049904;;30.111889;95;;24;30;;6656
29;3323;485261;110.844002;6723535;;30.119719;96;;29;65;;3323
29.994764;5729;2298728;191.059998;54899372;;30.333334;97;;29.994764;80;;5729
15;3870;257055;257.984985;8289562;;30.355556;98;;15;22.5;;3870
12;3390;56958;282.540009;2011625;;35;99;;12;12;;3390
29;15563;2917311;519.289978;189366288;;48;100;;29;65;;15563
